1;14;NULL;Acequias;274;5110
2;14;NULL;Apartaderos;271;5130
3;14;NULL;Acarigua;274;5101
4;14;NULL;Bailadores;275;5133
5;14;NULL;Canagua;275;5154
6;14;NULL;Capazón;275;3137
7;14;NULL;Caño Zancudo;275;3137
8;14;NULL;Chachopo;271;3112
9;14;NULL;Chiguara;275;5138
10;14;NULL;Chocanta;275;5112
11;14;NULL;Ejido;274;5111
12;14;NULL;El Morro;275;5101
13;14;NULL;El Peñon;275;5142
14;14;NULL;El Vigía;275;5145
15;14;NULL;Estanques;275;5101
16;14;NULL;Guaraque;275;5134
17;14;NULL;Humboldt;274;5101
18;14;NULL;Jajá;274;5107
19;14;NULL;La Azulita;275;5102
20;14;NULL;La Blanca;275;5145
21;14;NULL;La Hechicera;274;5101
22;14;NULL;La Mesa;274;5112
23;14;NULL;La Mesa de Ejido;274;5112
24;14;NULL;La Palmita;275;5145
25;14;NULL;La Parroquia;274;5115
26;14;NULL;La Pedregosa;274;5101
27;14;NULL;La Playa;275;5143
28;14;NULL;La Playita;275;5145
29;14;NULL;La Punta;275;5115
30;14;NULL;La Trampa;275;5138
31;14;NULL;La Vega;274;5101
32;14;NULL;Lagunilla;274;5138
33;14;NULL;Las Piedras;274;5138
34;14;NULL;Las Virtudes;274;3141
35;14;NULL;Libertad;271;5145
36;14;NULL;Los González;274;5111
37;14;NULL;Los Sauzales;274;5101
38;14;NULL;Mesa Bolívar;274;5141
39;14;NULL;Mesa Quintero;274;5134
40;14;NULL;Mucuchachi;271;5105
41;14;NULL;Mucuchies;271;5130
42;14;NULL;Mucuruba;271;5129
43;14;NULL;Mucutuy;271;5106
44;14;NULL;Mérida;274;5101
45;14;NULL;Piñango;274;5114
46;14;NULL;Pueblo Llano;271;5124
47;14;NULL;Pueblo Nuevo;275;5108
48;14;NULL;San Jacinto;274;5101
49;14;NULL;San José;274;5101
50;14;NULL;San Juan de Lagunilla;274;5138
51;14;NULL;San Rafael de Mucuchies;271;5130
52;14;NULL;Santa Cruz de Mora;275;5142
53;14;NULL;Santa Elena de Arenales;274;5101
54;14;NULL;Santo Domingo;271;5131
55;14;NULL;Tabay;274;5116
56;14;NULL;Timotes;271;3112
57;14;NULL;Tovar;275;5143
58;14;NULL;Tucantocani;275;5145
59;14;NULL;Unión;274;5101
60;14;NULL;Zea;275;5144
61;14;NULL;La Gonzalez;275;5145
62;14;NULL;Mucujepe;275;5101
63;14;NULL;San Cristobal De Torondoy;271;3101
64;14;NULL;Santa Apolonia De Merida;271;3101
65;14;NULL;Tucani;275;5141
66;14;NULL;Otras Poblaciones;274;5101
67;18;NULL;Acarigua;255;3301
68;18;NULL;Agua Blanca;255;3302
69;18;NULL;Aparición;257;3350
70;18;NULL;Araure;255;3303
71;18;NULL;Biscucuy;257;3351
72;18;NULL;Boconoito;257;3355
73;18;NULL;Chabasquín;257;3357
74;18;NULL;Colonia Tunón;0;3317
75;18;NULL;Córdoba;0;3357
76;18;NULL;El Poblado;0;3309
77;18;NULL;Guanare;257;3350
78;18;NULL;Guanarito;257;3354
79;18;NULL;La Estación;0;3352
80;18;NULL;La Misión;256;3301
81;18;NULL;Los Colorados;0;3309
82;18;NULL;Los Morrones;0;3350
83;18;NULL;Mesa de Caruaca;257;3350
84;18;NULL;Ospino;256;3352
85;18;NULL;Papelón;257;3353
86;18;NULL;Pimpinela;255;3304
87;18;NULL;Pí­ritu;256;3305
88;18;NULL;San Rafael de Onoto;255;3306
89;18;NULL;Santa Rosalí­a de Turen;256;3307
90;18;NULL;Turen;256;3309
91;18;NULL;Unellez;0;3350
92;18;NULL;Villa Bruzual;0;3309
93;18;NULL;La Concepción;0;3354
94;18;NULL;La Trinidad;0;3350
95;18;NULL;Paraiso De Chabasquen;0;3357
96;18;NULL;Payara;255;3301
97;18;NULL;Otras Poblaciones;0;3350
98;17;NULL;El Amparo;295;6301
99;17;NULL;El Bicha;295;6301
100;17;NULL;El Espinal;295;6301
101;17;NULL;El Guamache (Isla de Coche);295;6301
102;17;NULL;El Guamache (Punta de Piedras);295;6301
103;17;NULL;El Maco;295;6301
104;17;NULL;El Pilar;295;6301
105;17;NULL;El Valle de Pedro González;295;6301
106;17;NULL;El Valle del Espí­ritu Santo;295;6301
107;17;NULL;Guinima;295;6301
108;17;NULL;Juan Griego;295;6309
109;17;NULL;La Guardia;295;6301
110;17;NULL;La Isleta;295;6301
